x0000,y0000
2.954975487,-6.753627629,
2.955871864,-6.75137746,
2.956766395,-6.74943759,
2.957659087,-6.747811952,
2.958549948,-6.746500746,
2.959438985,-6.745501124,
2.960326206,-6.744807824,
2.961211618,-6.744413719,
2.962095229,-6.744310248,
2.962977045,-6.744487741,
2.963857075,-6.744935595,
2.964735325,-6.745642341,
2.965611802,-6.746595569,
2.966486514,-6.747781765,
2.967359469,-6.749186047,
2.968230671,-6.750791848,
2.96910013,-6.752580569,
2.969967852,-6.754531237,
2.970833843,-6.756620197,
2.971698111,-6.758820882,
2.972560662,-6.761103675,
2.973421504,-6.763435911,
2.974280643,-6.765782015,
2.975138085,-6.768103808,
2.975993838,-6.77036097,
2.976847908,-6.772511667,
2.977700302,-6.7745133,
2.978551026,-6.776323383,
2.979400087,-6.77790048,
2.980247491,-6.779205173,
2.981093245,-6.780201018,
2.981937355,-6.78085542,
2.982779827,-6.7811404,
2.983620669,-6.781033206,
2.984459885,-6.780516743,
2.985297484,-6.779579802,
2.986133469,-6.778217098,
2.986967849,-6.776429119,
2.987800629,-6.774221827,
2.988631815,-6.771606231,
2.989461413,-6.768597889,
2.990289429,-6.765216369,
2.99111587,-6.761484719,
2.991940741,-6.757428971,
2.992764048,-6.753077708,
2.993585798,-6.748461699,
2.994405995,-6.743613618,
2.995224647,-6.738567826,
2.996041758,-6.733360205,
2.996857335,-6.728028039,
2.997671383,-6.722609889,
2.998483908,-6.717145469,
2.999294915,-6.711675492,
3.000104411,-6.70624147,
3.000912401,-6.700885455,
3.001718891,-6.695649739,
3.002523886,-6.69057648,
3.003327391,-6.685707301,
3.004129412,-6.681082842,
3.004929955,-6.676742297,
3.005729025,-6.67272294,
3.006526628,-6.669059669,
3.007322768,-6.665784555,
3.008117452,-6.662926431,
3.008910684,-6.66051051,
3.00970247,-6.658558044,
3.010492815,-6.65708601,
3.011281725,-6.65610684,
3.012069203,-6.655628168,
3.012855257,-6.655652598,
3.01363989,-6.656177488,
3.014423109,-6.657194732,
3.015204917,-6.658690554,
3.015985321,-6.660645291,
3.016764325,-6.663033202,
3.017541934,-6.665822277,
3.018318153,-6.6689741,
3.019092987,-6.672443761,
3.019866441,-6.676179874,
3.020638521,-6.680124728,
3.02140923,-6.684214612,
3.022178574,-6.688380368,
3.022946557,-6.692548214,
3.023713185,-6.696640859,
3.024478461,-6.70057895,
3.025242392,-6.704282827,
3.026004981,-6.707674583,
3.026766234,-6.710680345,
3.027526155,-6.713232704,
3.028284748,-6.715273153,
3.029042018,-6.716754405,
3.02979797,-6.717642422,
3.030552609,-6.717918002,
3.031305939,-6.717577809,
3.032057964,-6.716634742,
3.032808689,-6.715117611,
3.033558119,-6.713070132,
3.034306258,-6.710549314,
3.03505311,-6.707623362,
3.035798681,-6.704369225,
3.036542973,-6.700869969,
3.037285992,-6.697212122,
3.038027742,-6.693483132,
3.038768227,-6.689769056,
3.039507452,-6.686152548,
3.040245421,-6.682711215,
3.040982137,-6.679516325,
3.041717607,-6.676631887,
3.042451832,-6.674114062,
3.043184819,-6.672010851,
3.043916571,-6.670362039,
3.044647091,-6.669199306,
3.045376385,-6.668546491,
3.046104457,-6.668419925,
3.04683131,-6.668828816,
3.047556948,-6.66977564,
3.048281376,-6.671256505,
3.049004598,-6.673261477,
3.049726617,-6.67577485,
3.050447438,-6.678775355,
3.051167064,-6.682236314,
3.0518855,-6.686125755,
3.05260275,-6.690406502,
3.053318817,-6.695036262,
3.054033705,-6.699967757,
3.054747418,-6.70514891,
3.055459961,-6.710523147,
3.056171336,-6.716029823,
3.056881548,-6.721604831,
3.0575906,-6.727181381,
3.058298497,-6.732690991,
3.059005242,-6.738064664,
3.059710838,-6.743234242,
3.06041529,-6.748133891,
3.061118601,-6.75270166,
3.061820775,-6.756881042,
3.062521815,-6.760622461,
3.063221726,-6.763884581,
3.06392051,-6.766635374,
3.064618172,-6.768852865,
3.065314715,-6.770525505,
3.066010143,-6.771652149,
3.066704459,-6.77224165,
3.067397667,-6.772312087,
3.068089769,-6.771889696,
3.068780771,-6.771007572,
3.069470675,-6.769704224,
3.070159485,-6.76802207,
3.070847204,-6.766005951,
3.071533836,-6.763701723,
3.072219384,-6.761154989,
3.072903851,-6.758409991,
3.073587241,-6.755508683,
3.074269558,-6.752489995,
3.074950804,-6.749389251,
3.075630984,-6.74623776,
3.0763101,-6.74306252,
3.076988155,-6.73988603,
3.077665154,-6.736726192,
3.078341099,-6.733596262,
3.079015993,-6.730504863,
3.07968984,-6.727456033,
3.080362644,-6.72444932,
3.081034406,-6.721479921,
